Código,Título,DataHoraDOM,cod_registro_info_sfinge,Município,Entidade,CategoriaDOM,Modalidade,Nr.Modalidade,Objeto,Justificativa,Data Abertura,Informacoes,Signatário,Cargo do Signatário
6611504,EXTRATO DE PUBLICAÇÃO DA DISPENSA Nº 79/2024,2024-11-12 16:09:58,NULL,Planalto Alegre,Prefeitura municipal de Planalto Alegre,Licitações,DISPENSA PRESENCIAL,Nº 79/2024,"CONTRATAÇÃO DE SERVIÇOS E MATERIAIS PARA SHOW DE FOGOS DE ARTIFÍCIO A SER REALIZADO NA TRADICIONAL NOITE DO FILÓ – DIA 29/11/2024, COM O OBJETIVO DE DAR ANDAMENTO ÀS FESTIVIDADES MUNICIPAIS, CONFORME DESCRIÇÃO TÉCNICA DETALHADA E DEMAIS CONDIÇÕES CONSTANTES DO ANEXO I – TERMO DE REFERÊNCIA. ENVIO DE PROPOSTAS ADICIONAIS",COM O OBJETIVO DE DAR ANDAMENTO ÀS FESTIVIDADES MUNICIPAIS,13/11/2024,"O Edital e esclarecimentos poderão ser obtidos no seguinte endereço e horários: Av. Santa Catarina, 390, Centro, Planalto Alegre, nos dias úteis, das Segundas à Sextas, das 07:30 às 11:30 e das 13:10 às 17:10 horas, ou pelo fone 3335-0066 e no site: www.planaltoalegre.sc.gov.br.",SADI DALLACORTTE,Prefeito
6611791,AVISO DE LICITAÇÃO - PREGÃO Nº 06/2024,2024-11-12 17:02:16,D64D5ED6B18674E4FF36C1437AC8EDD2F752D6B3,Balneário Arroio do Silva,Prefeitura municipal de Balneário Arroio do Silva,Licitações,PREGÃO PRESENCIAL,Nº 06/2024,"Seleção e Contratação de empresa especializada em Fogos de Artifício e Show Pirotécnico com montagem, desmontagem, para realização de show no Réveillon 2025, no Município de Balneário Arroio do Silva, conforme especificações e quantitativos descritos no Anexo I deste Edital.",NULL,"14h00min, do dia 28 de novembro de 2024","EDITAL E ARQUIVOS: Pessoalmente, pelo telefone: (48) 3526-1445 ou E-mail: administracao@arroiodosilva.sc.gov.br ou https://balnearioarroiodosilva.atende.net/?pg=transparencia#!/.",EVANDRO SCAINI,Prefeito Municipal
6611464,AVISO DE LICITAÇÃO 181/2024 - ADM,2024-11-12 16:01:29,A61934B8CBABD71FBCC2DA5AEBDD324C6F9B7072,São Carlos,Prefeitura municipal de São Carlos,Licitações,Concorrência Eletrônica,nº 010/2024,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRA DE PAVIMENTAÇÃO COM PEDRAS IRREGULARES EM TRECHO DA SCAR 201, NA LINHA BAIXO AGUINAS, INTERIOR DO MUNICÍPIO DE SÃO CARLOS-SC.",NULL,"dia 29 de novembro de 2024, às 08h01min","O Edital e esclarecimentos poderão ser obtidos no seguinte endereço e horários: Rua Demétrio Lórenz, 747, nos dias úteis, de Segunda à Sexta, das 07:30 as 11:30 e das 13:30 às 17:30 horas, ou pelo fone (49) 3325-3030. https://saocarlos.atende.net",RUDI MIGUEL SANDER,Prefeito
6611673,PUBLICAÇÃO DA HOMOLOGAÇÃO DA DISPENSA DE LICITAÇÃO Nº FMS 76/2024,2024-11-12 16:45:52,NULL,Canoinhas,Prefeitura municipal de Canoinhas,Licitações,Dispensa Presencial,76/2024,AQUISIÇÃO DO MEDICAMENTO SULFATO FERROSO 40 MG,NULL,NULL,,FRANCIELI DA COSTA COLLA,FUNDO MUNICIPAL DE SAÚDE
6611563,AVISO DE LICITAÇÃO 182/2024 - ADM,2024-11-12 16:26:23,F028B91273FBF0B5C0272D74161F6A429D9BD062,São Carlos,Prefeitura municipal de São Carlos,Licitações,Concorrência Eletrônica,011/2024 ,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ENGENHARIA PARA EXECUÇÃO DA REFORMA DA CHURRASQUEIRA PAVILHÃO DA COMUNIDADE SÃO JOSÉ LOCALIZADA NA SCAR 221, NO MUNICÍPIO DE SÃO CARLOS/SC, PORTARIA Nº 251/SEF - 24/10/2024.",NULL,"dia 29 de novembro de 2024, às 08h31min","O Edital e esclarecimentos poderão ser obtidos no seguinte endereço e horários: Rua Demétrio Lórenz, 747, nos dias úteis, de Segunda à Sexta, das 07:30 as 11:30 e das 13:30 às 17:30 horas, ou pelo fone (49) 3325-3030. https://saocarlos.atende.net",RUDI MIGUEL SANDER,Prefeito
6612841,RELAÇÃO DE NOMES PARA SORTEIO- PL 082/2024 - IL 012/2024 - EDITAL DE CREDENCIAMENTO Nº 004/2024 - SUBCOMISSÃO TÉCNICA PARA O PL 072.24 - CC 006.24 - PML - LEI 14.133/21,2024-11-12 19:16:02,NULL,Luzerna,Prefeitura municipal de Luzerna,Licitações,CREDENCIAMENTO,Nº 004/2024,"contratação de serviços de Agência de Publicidade, do tipo técnica e preço",para atender as demandas da Prefeitura Municipal de Luzerna/SC,14h horas do dia 28 de novembro de 2024,"Maiores Informações poderão ser obtidos pelo telefone (49) 3551-4700 ou pelo e-mail assadministrativo@luzerna.sc.gov.br, ou no site www.luzerna.sc.gov.br, na opção Publicações Oficiais>Licitações>Concorrência.",JULIANO SCHNEIDER,Prefeito
6611873,EXTRATO DE HOMOLOGAÇÃO ADJUDICAÇÃO DE PROCESSO LICITATÓRIO 86/2023 PREGÃO ELETRONICO 47/2024,2024-11-12 17:29:21,NULL,Treze Tílias,Prefeitura municipal de Treze Tílias,Licitações,Pregão Eletrônico ,nº 47/2023,"Registro de Preço para AQUISIÇÃO EVENTUAL E FUTURA, SOB DEMANDA, DOS ITENS DE FORMA UNITÁRIA, DE MATERIAIS ELÉTRICOS, HIDRÁULICOS, HIDROSSANITÁRIOS E SIMILARES, PARA REALIZAÇÃO DE PEQUENOS REPAROS, INSTALAÇÕES, OBRAS E MANUTENÇÕES EMERGENCIAIS, PARA AS DIVERSAS SECRETARIAS DO MUNICÍPIO DE TREZE TÍLIAS, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.",NULL,NULL,NULL,Rudi Ohlweiler,Prefeito
6611784,TERMO DE HOMOLOGAÇÃO DISPENSA 51/2024,2024-11-12 16:59:40,NULL,Itaiópolis,Prefeitura municipal de Itaiópolis,Licitações,DISPENSA DE LICITAÇÃO,Nr.: 51/2024,Bandeira Nacional,para atender a demanda da Administração Pública de Itaiópolis,NULL,"E-mail: Site: http://www.itaiopolis.sc.gov.br ESTADO DE SANTA CATARINA PREFEITURA MUNICIPAL DE ITAIOPOLIS Rua Getulio Vargas, 308 - Centro - Itaiópolis CEP: 89340-000 CNPJ: 83.102.517/0001-19 Telefone: (47) 3652-2211",MOZART JOSE MYCZKOWSKI,Prefeito Municipal
6612359,EXTRATO DE PUBLICAÇÃO DA DISPENSA Nº 80/2024,2024-11-12 18:19:00,NULL,Planalto Alegre,Prefeitura municipal de Planalto Alegre,Licitações,DISPENSA PRESENCIAL,Nº 80/2024,"AQUISIÇÃO DE CAMISETAS PARA O PASSEIO CICLÍSTICO A SER REALIZADO NO DIA 12/12/2024 E DEMAIS FESTIVIDADES DA SEMANA DE ANIVERSÁRIO DO MUNICÍPIO, CONFORME DESCRIÇÃO TÉCNICA DETALHADA E DEMAIS CONDIÇÕES CONSTANTES DESTE ANEXO I – TERMO DE REFERÊNCIA.",,13/11/2024,"O Edital e esclarecimentos poderão ser obtidos no seguinte endereço e horários: Av. Santa Catarina, 390, Centro, Planalto Alegre, nos dias úteis, das Segundas à Sextas, das 07:30 às 11:30 e das 13:10 às 17:10 horas, ou pelo fone 3335-0066 e no site: www.planaltoalegre.sc.gov.br .",SADI DALLACORTTE,Prefeito
6611617,PUBLICAÇÃO DE EXTRATO DE HOMOLOGAÇÃO DE INEXIGIBILIDADE DE LICITAÇÃO Nº FMAS 09/2024,2024-11-12 16:37:27,NULL,Canoinhas,Prefeitura municipal de Canoinhas,Licitações,PREGÃO,nº. 9/2024,"Termo de colaboração entre Bombeiros, ACD, APAE e Pleroma.",,NULL,NULL,ROSILENE DE FATIMA SCHULKA JAREMCZUK,Secretária de Assistência Social
